[2026-05-01T11:28:21.574166+00:00]   embed-fail after 5 attempts: HTTP 503: {"error":"server busy, please try again.  maximum pending requests exceeded"}
[2026-05-02T07:30:02.824761+00:00] START model=nomic-embed-text url=http://10.0.0.143:11434 full=False
[2026-05-02T07:30:05.355501+00:00]   progress: embedded=25 skipped=0 failed=0
[2026-05-02T07:30:07.490893+00:00]   progress: embedded=50 skipped=0 failed=0
[2026-05-02T07:30:09.936539+00:00]   progress: embedded=75 skipped=0 failed=0
[2026-05-02T07:30:12.498481+00:00]   progress: embedded=100 skipped=0 failed=0
[2026-05-02T07:30:14.705789+00:00]   progress: embedded=125 skipped=0 failed=0
[2026-05-02T07:30:16.658956+00:00]   progress: embedded=150 skipped=0 failed=0
[2026-05-02T07:30:18.829997+00:00]   progress: embedded=175 skipped=0 failed=0
[2026-05-02T07:30:21.004932+00:00]   progress: embedded=200 skipped=0 failed=0
[2026-05-02T07:30:23.307655+00:00]   progress: embedded=225 skipped=0 failed=0
[2026-05-02T07:30:25.955404+00:00]   progress: embedded=250 skipped=0 failed=0
[2026-05-02T07:30:28.280096+00:00]   progress: embedded=275 skipped=0 failed=0
